guarde,guarded
7821146668999684522704,7821146668999684522704295458971092216365
guardi,guardian
sufferan,sufferance
494800067194,4948000671943714240581053275177219524743
66895899181530825761606591843760505051,6689589918153082576160659184376050505170
416193143126715355871548667478993986,4161931431267153558715486674789939868551
abrupt,abruptly
sunshi,sunshine
14832802706553,1483280270655383300469329011574414756313
childl,childless
479076153210387275571269925182756879,4790761532103872755712699251827568798930
990758280,9907582801661112006314541131514410887576
sufferab,sufferable
brutalizin,brutalizing
6931962,6931962642014042788365702610390456105151
73134777613415096,7313477761341509652624483327093438984120
41521115136835062752602326484728,4152111513683506275260232648472870392076
recognizabl,recognizable
childh,childhood
83578390179,8357839017934997137909136967064976371272
17418968835481316439974377,1741896883548131643997437764158365242234
74888476,7488847646220303256377511125340600879369
poseid,poseidon
frankens,frankenstein
5629936,5629936962809358189761491017145343556659
77929528246795437302263,7792952824679543730226347249535946630023
176815592262,1768155922620169913966131537380212941600
3843381,3843381891200428537875493027689721681991
433778849283,4337788492834236361124473822814504596821
kindnes,kindness
compassionate,compassionated
0,000
3649,3649455505232518632241138840619125701291
4,4557
68236993,6823699357668723462219641322516076261161
8,801
intertwin,intertwined
gladd,gladder
unaccustom,unaccustomed
378532660,3785326601858425689141091944645661626677
826914,8269148784355679352572808875543164693077
immensit,immensity
flic,flickering
285331794353507340189119363854673000066,2853317943535073401891193638546730000660
flig,flight
81395599006737648292244375287184,8139559900673764829224437528718462457803
datab,databases
016070462,0160704626215680717481877844371436988218
0447958316931,0447958316931533832382377876344426323456
after,afterwards
604884577017762183184615567978427,6048845770177621831846155679784275410884
3656,3656953207417053348678275482781541556196
58050217798497637014758914810543,5805021779849763701475891481054320585491
nibble,nibbled
537174490903769904145555260249190126,5371744909037699041455552602491901263414
16640617081316020,1664061708131602078213341260356852013161
50047585260297929306159913444898341,5004758526029792930615991344489834197358
5017924552067329003818814068686247959,5017924552067329003818814068686247959272
d,do
1418062222234571,1418062222234571856794150729952620108620
33858330391178,3385833039117874757597706595357097964001
h,he
719623585631261838715677411873852,7196235856312618387156774118738527722922
l,like
51336061144572228,5133606114457222800851183757899219543063
guaran,guarantee
849589380642028866679,8495893806420288666795194348275016819202
p,project
524082850120190831078678067061851145740,5240828501201908310786780670618511457409
2436739840,2436739840284188639147633491695114032583
t,the
1001,1001772437840167723166802004162547244179
x,xxx
8707777519329994213727721125,8707777519329994213727721125884360871583
gladl,gladly
information,informational
3667,3667280872414291108080291896093127526202
reproduct,reproduction
hissi,hissing
104525470094899407601215247602819963,1045254700948994076012152476028199638463
784517474051531740138487808,7845174740515317401384878082881006046388
61583352580352858275799038584,6158335258035285827579903858409166761887
sufferer,sufferers
57723484200773560,5772348420077356021656909077097264985642
9514014617820181073410056546670823685,9514014617820181073410056546670823685431
undulati,undulations
94433082412438461604,9443308241243846160408284006424867072583
1609096719200723765,1609096719200723765889422618655048755261
hisse,hissed
6117920186989006730270823841,6117920186989006730270823841032802134874
1012,1012124434092813146597602213604162230311
3674,3674361541081593464960431603544354737728
55804006698252319122557051913,5580400669825231912255705191336314072113
857317121103651748637163409838562654,8573171211036517486371634098385626541555
4253417010988435853189339175,4253417010988435853189339175934511574023
4991028197595639557117530118234,4991028197595639557117530118234803041810
0540070,0540070356131026040514507932592579822740
9898683901335795857624435194008943955,9898683901335795857624435194008943955180
711176761047774971666890152,7111767610477749716668901521638389743117
09406147937240008842153535862052780,0940614793724000884215353586205278012501
1023,10234
3801296864037978355355907135570,3801296864037978355355907135570836994731
dumpt,dumpty
161651128073185293331,1616511280731852933312407091234383250230
75155063998101646,7515506399810164664145921024068382946032
6378958652454628134,6378958652454628134392893383651565369924
10787934519413,1078793451941338259963687950209850330214
40535413005048240499664697,4053541300504824049966469785580026289318
36743615410815934649604316035443547,3674361541081593464960431603544354737728
78723896404314536,7872389640431453641905411015143717737977
8853100672894703307954080458332,8853100672894703307954080458332419218848
40903525773459382,4090352577345938248232053055567238095022
offs,offspring
8602940662803255416535431518013714,8602940662803255416535431518013714821941
cpet_proj,cpet_projects_in_electronic_text
32288995328582839776218460096,3228899532858283977621846009676692675812
1038,1038832550073648999371671832800283988323
82189579090886508538249084,8218957909088650853824908489044217555309
127953226882390464982390815929,1279532268823904649823908159296111100375
shrinki,shrinking
quarterl,quarterly
creepe,creepers
frustr,frustrate
63259915816449,6325991581644993614551724520570204430937
18784869108767299,1878486910876729910565595155159739659034
3785326601858425689141091,3785326601858425689141091944645661626677
911802493660517914853304210,9118024936605179148533042104389977301926
348463317921904,3484633179219044946529230214692597565663
creepi,creeping
better,bettering
unparalle,unparalleled
28141497400691,2814149740069179421928888171391162839102
013520561510348982187377,0135205615103489821873770245063583314243
967052184721,9670521847212730327970738223860581986744
1045,1045686070209901260681870498417807917392
506028190245219117701863450517108702,5060281902452191177018634505171087023903
484964453434612129224964732,4849644534346121292249647323561263219511
90394751680177099001293,9039475168017709900129391137881248534255
36941508488867501893156994849,3694150848886750189315699484983893605266
916894998189858852953787,9168949981898588529537874489519527097766
2654495906173826559,2654495906173826559117854599937851086144
11821957450170106059,1182195745017010605938433651945862836068
81321048451878451,8132104845187845162306239118780246040508
7185777014180606443636815464440053,7185777014180606443636815464440053316087
254543274,2545432741934959955695902432790971743922
00614883254545281990825623880587,0061488325454528199082562388058720428439
1063,1063986870366826329905057770626639786845
16616861203619531925326,1661686120361953192532626622711081421498
156581354557831973041933,1565813545578319730419339269008282952718
813586711735236496412105,8135867117352364964121058854934496645898
391485487925140288,3914854879251402888502518978807602383899
13356244383818536627,1335624438381853662735637834369212793547
reminde,reminded
561828176343929570234710460088230637509,5618281763439295702347104600882306375098
remindi,reminding
3920305576358989492412,3920305576358989492412827022489373848906
kaleidascop,kaleidascopic
1757242,1757242129972354206963042785795060891111
8506759050366239172,8506759050366239172210873233316990960336
041468948104916751035295897242,0414689481049167510352958972423818022881
generositie,generosities
4790761532103872755712699251827568798,4790761532103872755712699251827568798930
flou,flout
07458330686866,0745833068686623130915578000596652273618
97577150810849443,9757715081084944350828545874991294385756
00780892251,0078089225162851232757243551019990381959
03837215772683,0383721577268311707345522501941217015413
4274036466,4274036466594154400092799908634806622334
40561666867664402868211607,4056166686766440286821160729483030523646
9800805090001,9800805090001981962175845893251687769859
3026486760843320465852547,3026486760843320465852547055588241025465
floa,float
7572470936999595,7572470936999595749669676277240766303535
24420,2442033414057441446459968236966118878411
16512966636764451872465653,1651296663676445187246565373040244368414
innume,innumerable
1074,1074454007616429525362460261476180471744
imperfe,imperfect
2240485690,2240485690022532416036780532999092543896
faithf,faithful
remis,remissness
213320528637457798,2133205286374577983487319388899574634252
449204881986297863297,4492048819862978632974313694851178057929
328362101928229372,3283621019282293724359028300388444570138
2521388551265830376304774906,2521388551265830376304774906259955149259
77189107935243,7718910793524323432276178771256825112648
faggo,faggot
114161956394241431225439,1141619563942414312254397099163565102848
447165516612674930799374705772,4471655166126749307993747057729305217504
52117290229852785180,5211729022985278518025598478407179607904
1081,1081604152410021419593734978643166155673
5642971,5642971133418149721807804046507765720445
771867484911475031801773304689909317974,7718674849114750318017733046899093179744
629342498141780564616158634153,6293424981417805646161586341533863507722
venome,venomed
1078,1078793451941338259963687950209850330214
114852054933679368684308324,1148520549336793686843083240412678922092
180776360346245927,1807763603462459278778465850656050780844
42534170109,4253417010988435853189339175934511574023
014350216089018570,0143502160890185703558173661823437491622
indispensab,indispensable
eugen,eugene
avaia,avaiable
04008737698806879703804722348,0400873769880687970380472234888258198190
1092,1092886778920270077504951511405782565295
4161931431267153558715486674789939868,4161931431267153558715486674789939868551
55884642237076011177482107,5588464223707601117748210796259011802655
1843659714358334875602740540,1843659714358334875602740540016557117830
613313845830007520449,6133138458300075204493382656029760673711
nominall,nominally
3584384057673298,3584384057673298268163448646707439990917
614436956469090951878,6144369564690909518788574398821730583884
31574476843381,3157447684338100457385008523652069340710
