35129139235954529514074379,3512913923595452951407437943144900950809
01352056151034898218737,0135205615103489821873770245063583314243
125929366840591370059526914934421861,1259293668405913700595269149344218618917
55884642237076011177482107962590118,5588464223707601117748210796259011802655
7749479335174036135005397581475520,7749479335174036135005397581475520834285
1468000,1468000151211434422560238744743252507693
109288677892,1092886778920270077504951511405782565295
026942481085453,0269424810854530602810627264236538250773
pretenc,pretence
42201552282050989197818420425,4220155228205098919781842042502825952188
childi,childish
4253417010,4253417010988435853189339175934511574023
pretens,pretensions
anesthes,anesthesia
71102203537271661123048573404608792725,7110220353727166112304857340460879272501
66876047409154204284299935410258291135,6687604740915420428429993541025829113502
7875535618833508387024829534,7875535618833508387024829534607859702360
749158286016944399200415711027,7491582860169443992004157110270608150727
3649455505232518632241138,3649455505232518632241138840619125701291
477214821281576072753,4772148212815760727530517333096345590932
38497450236,3849745023626573319174244656778749966500
6654111537358491279025465436902086941,6654111537358491279025465436902086941987
9290684475779825179,9290684475779825179556975823508437174610
87551380271013798687512993751333,8755138027101379868751299375133303843885
3,30
675232839,6752328391688865373751335794859860107569
childre,children
9904225568041463131309240101049368,9904225568041463131309240101049368241449
7,75
blaste,blasted
990758280166,9907582801661112006314541131514410887576
21874889271,2187488927129489039802562304681217514550
palpitatio,palpitation
remar,remark
51221051052090834707443,5122105105209083470744398613782908235277
4948000671943,4948000671943714240581053275177219524743
22592445615203656082,2259244561520365608268890193913957991844
173849768523136,1738497685231362760768684947803649482999
379399075216606923805336988,3793990752166069238053369887956513728559
86595262,8659526284482537313536981625173519301153
1000,10000
9091354407852,9091354407852685476254126683398240534022
791346544,7913465443931965254154829494577875758599
70078538715,7007853871508357794809523131527477357117
2625150974827987779,2625150974827987779964373089970388867782
timbe,timber
result,results
7196235856312618387156774118,7196235856312618387156774118738527722922
121491620765676995065971534476347032085,1214916207656769950659715344763470320853
99466665203753027192376425255291034795,9946666520375302719237642525529103479503
44968487560233624827041,4496848756023362482704197862320900216099
77229877,7722987732136502886886885943405120579838
flin,fling
6402636703151957650493344,6402636703151957650493344879513766262192
935258038242273776124369087,9352580382422737761243690870987518914904
_,_i_
flir,flirts
resume,resumed
c,could
4231429,4231429807789561705125693005180428747236
g,gutenberg
201004081176012327051316374,2010040811760123270513163743154487571768
688627439680218855815153675312183741,6886274396802188558151536753121837411997
k,know
mailing_li,mailing_lists
451836185698908872178976469472124680,4518361856989088721789764694721246807900
70121010994422073702461368719603,7012101099442207370246136871960314911623
259569032,2595690328869282912601392675878582847655
o,of
s,so
468396543588566855037731312965879758105,4683965435885668550377313129658797581050
1004,1004309023571363689261949376360267364587
w,was
2508396461328929584567927365409,2508396461328929584567927365409119947616
12795322688239046498239081592,1279532268823904649823908159296111100375
245771161505550519076276250016522166,2457711615055505190762762500165221662747
818743616224455286163287628541175946,8187436162244552861632876285411759464604
8743270916620,8743270916620098057717103475575333102702
3247460522424051972825153787541,3247460522424051972825153787541962759327
3680,3680363289139664155342066705623272936001
481278485,4812784851004144784541646456849660669913
wrestl,wrestling
1022,1022190999062573733834727264986782444010
5721874602100531148335132385004782716,5721874602100531148335132385004782716937
435548529323771614,4355485293237716141086959195078687327607
6412795535,6412795535364422869554305513087000098785
creesu,creesus
8291173854273579715415794368949,8291173854273579715415794368949106375974
9669365218674805943569985859699,9669365218674805943569985859699554089329
6999491804707,6999491804707804967644868899809021237357
conformit,conformity
resurr,resurrection
quartere,quartered
7941147,7941147110410688703738674378147161236141
72229804170711225699631094594509,7222980417071122569963109459450977655664
quarteri,quartering
3013865627546016127924635978366,3013865627546016127924635978366148016387
4039013610739524568624300809672,4039013610739524568624300809672046099554
249157913,2491579131394111486084164293479587936818
marriageabl,marriageable
51840445170427018,5184044517042701893819942434100905753762
3695,3695561934763859818775685591237623258084
resusc,resuscitating
806499084591,8064990845917962030569156680618082658692
shakespear,shakespeare
46228390073545714459641410822928,4622839007354571445964141082292859222393
unbelieva,unbelievable
730006483191638260,7300064831916382602211055522124673332318
611905414595537,6119054145955378853200366615264923610030
67947958810333,6794795881033393541328970252889353374810
3238877079996986413722755263176496628,3238877079996986413722755263176496628824
6100870250132,6100870250132945332535804568928570724120
scholars,scholarship
ensur,ensuring
741749208754106455695,7417492087541064556959508967969794980679
578003158037255554,5780031580372555541017846186347869064604
2436739840284188,2436739840284188639147633491695114032583
4630467726914,4630467726914552953690154167025838032477
4036129729992,4036129729992912630842812149152469877429
102n,102nd
83562969704501613793569626675977592,8356296970450161379356962667597759234361
963436392268425916416866943812253713,9634363922684259164168669438122537135960
0938706,0938706441886733491099877926005340862442
7749479,7749479335174036135005397581475520834285
384845712947673898562939376419,3848457129476738985629393764191440703650
281908045776241090764870874061,2819080457762410907648708740615707048665
quarterm,quarterman
418256496556329451,4182564965563294518709637484074360669912
951401461782018107341005654667082368543,9514014617820181073410056546670823685431
37853266018584256891,3785326601858425689141091944645661626677
668958991815308257616065918437605050517,6689589918153082576160659184376050505170
66146238506331270729877456189843842,6614623850633127072987745618984384288764
livelihoo,livelihood
18039943217000090542650763095588,1803994321700009054265076309558846589517
12680314,1268031418456268722581132040056433413524
1051,1051207313846648717547518382979990189317
70967939354636,7096793935463639644813902571176805779975
2667904396142318529919891810,2667904396142318529919891810655544124772
goodlie,goodliest
82125980,8212598055075485123231333130062149004270
315744768,3157447684338100457385008523652069340710
5004758526029,5004758526029792930615991344489834197358
sprightl,sprightly
466237092264,4662370922646809671254061869502143176211
4387969521023526667337243442,4387969521023526667337243442309157718327
subjuga,subjugate
5865826036072306952576113184134,5865826036072306952576113184134225274786
293650776646,2936507766465603712364707109272580867897
77189107935,7718910793524323432276178771256825112648
flop,floppy
863801576007240601649547,8638015760072406016495470823313493615824
chille,chilled
42142561071896846626335874414976,4214256107189684662633587441497697392156
loveds,lovedst
0414689481,0414689481049167510352958972423818022881
misspell,misspellings
231040432425267,2310404324252678595556207731054307229803
756580021192827039,7565800211928270391042391966426911155333
timid,timidity
986451733662532951,9864517336625329511775105559014160459873
33160701075,3316070107516452301310796620382579278533
59493020921122,5949302092112205261031239068294134569678
18077636034,1807763603462459278778465850656050780844
70227053670563075031749978,7022705367056307503174997881870099892510
01179281,0117928145468590965326166160684031600779
9617740522182474226576,9617740522182474226576521381527406126990
goodloo,goodlooking
4098064101750165,4098064101750165110729329078321774875662
administrati,administration
8195463942,8195463942431669050083984398993036790655
26754249757105208943626395013,2675424975710520894362639501382962152214
75103847815390,7510384781539068343717740714095628337554
401269545863764220650978108529076,4012695458637642206509781085290763907972
973108740264753658257,9731087402647536582575657351059978314264
remin,reminded
245016681534121350527,2450166815341213505278578539332606110249
unfrien,unfriended
4039013610739524568624300809672046099,4039013610739524568624300809672046099554
imperce,imperceptible
35043151396066913,3504315139606691325837903374862083669547
190303973272546178231,1903039732725461782313636337592762265630
beholder,beholders
avail,available
452253,4522535500359683253374891862786783594439
713520841742821184735365236757,7135208417428211847353652367573702352791
1099,1099715883127800208982759358981064821179
2573965950289645,2573965950289645637766038988037941517917
4094213213002061645408219,4094213213002061645408219861380994627212
1092886778920,1092886778920270077504951511405782565295
160909671920072376588942,1609096719200723765889422618655048755261
78229768410011765798709818572513137,7822976841001176579870981857251313722677
ligamen,ligaments
resurrect,resurrection
01699016641890388,0169901664189038843548375648056012628830
0351598888,0351598888519345807273866738589422879228
boggl,boggling
remot,remote
761228853473931896008109652020,7612288534739318960081096520209015110457
787553561883350838,7875535618833508387024829534607859702360
565184822031252149507003783,5651848220312521495070037830041121621212
541382655,5413826554338848777885997206367966069232
815269664910068587592655660567,8152696649100685875926556605675629633614
remod,remodeled
4098064,4098064101750165110729329078321774875662
7807673637928867677811705205343677,7807673637928867677811705205343677057315
2347976267368985547494427794991,2347976267368985547494427794991656010852
6403785349071490898423178917,6403785349071490898423178917397836506547
ineluctab,ineluctably
timel,timely
footho,foothold
sneake,sneaked
338583303911787475759770659535709796,3385833039117874757597706595357097964001
681952345238074462998,6819523452380744629987766482487375331301
315744768433810045738500852365,3157447684338100457385008523652069340710
5413826554338848777885997206367966,5413826554338848777885997206367966069232
sneaki,sneaking
4021962955724793,4021962955724793298713285247999463893892
0177793977695789208451,0177793977695789208451097926538290562673
sismo,sismondi
446515251235460352,4465152512354603526742382254148328248990
124764518508091639114,1247645185080916391145929607115634420434
promulga,promulgated
50401889231926755751835405495,5040188923192675575183540549560177329071
untouche,untouched
susqueha,susquehanna
3165140662291712234293,3165140662291712234293758061439934849143
5844916693625515,5844916693625515693709168552526447207865
2044102134790034598411927024921557026,2044102134790034598411927024921557026873
1362589418097880,1362589418097880156773789513103131573611
5413826554338,5413826554338848777885997206367966069232
5704339055357016865312052,5704339055357016865312052649561485724925
greybea,greybeards
8171286720586514,8171286720586514828531727356906983993511
00533583180520082915722,0053358318052008291572290469636555317815
738474816380,7384748163804563518818321038659479820437
92597762817818282537202,9259776281781828253720229201081864494483
muscle,muscles
32883144032279804927410440392176143,3288314403227980492741044039217614384057
1947457023582954813657818098,1947457023582954813657818098679440202202
descriptiv,descriptive
25423660677450,2542366067745004134157943121125012752322
fluf,fluffy
5672006283974482871,5672006283974482871329822395757910542081
flun,flung
64266292261456,6426629226145600433738386833555534345300
988451414146931171931427,9884514141469311719314272028007223449941
699949180470780496764486,6999491804707804967644868899809021237357
2708035,2708035210384817616700444374057213129425
footfa,footfalls
637515463048331127222318,6375154630483311272223181233837177980043
0207695393241,0207695393241550967626808876035724639139
strug,struggle
2329175076469684003556425503797106,2329175076469684003556425503797106891999
90460077284086,9046007728408622147475476532215055181164
0579549008076040034154662137669,0579549008076040034154662137669606444293
beautiful,beautifully
66986837037302200475314338181092,6698683703730220047531433818109270803001
8743743557819665117166183308811291202,8743743557819665117166183308811291202452
657553,6575531754156198940698289315745851842783
05187047906015840843029147873022,0518704790601584084302914787302246651371
simultaneousl,simultaneously
873252,8732527373890392890506865324138062796025
investmen,investment
4778857684269653845944570016975,4778857684269653845944570016975842253124
5611229018128471013791721,5611229018128471013791721512466742850006
4362264965506449848,4362264965506449848521612498442375928443
46519176,4651917675138077575448307953064925086002
redist,redistributing
dunge,dungeon
irrita,irritable
0169842055804033637953,0169842055804033637953764520304024322566
63994,6399489868361689193778366483271373636546
reckoni,reckoning
0681363781529646159632606,0681363781529646159632606987449611053683
09266213229273649718653,0926621322927364971865395286656753857211
reckone,reckoned
38406266,3840626612195714191106324606177418057721
368308042630991048156750362350965492430,3683080426309910481567503623509654924302
384338189120042853787549302,3843381891200428537875493027689721681991
4861401315385932206,4861401315385932206074518590960888428021
9403090486349,9403090486349605340549312999194960879579
729570351,7295703519238768640554427813416980724938
791116417663313288523520624879229789,7911164176633132885235206248792297895945
946853,9468536782310609792159936001994623799343
645589,6455897616974559784092114091676840202693
1279532268,1279532268823904649823908159296111100375
73326,7332652785694180055013634339535028708362
9855057478471210535057956490,9855057478471210535057956490959316721675
starvi,starving
99243339436093622339032149935726,9924333943609362233903214993572625074806
192949736165944,1929497361659442594717547651352052450725
starve,starved
767626568355862545269,7676265683558625452697455260991024576619
221281041904480472,2212810419044804724794929134228495197002
2625150,2625150974827987779964373089970388867782
79014851,7901485158395404442839883817975112453555
44834665722,4483466572204288067928061602988404340053
newgroup,newgroups
82691487843556793525728088755,8269148784355679352572808875543164693077
creation,creations
621079935767373179489,6210799357673731794896425248881372043557
81202445175401852132663740538802901,8120244517540185213266374053880290124972
3055716726972591146319906888238930,3055716726972591146319906888238930053800
73704635201327182592,7370463520132718259241090604009763858585
20466567508849159,2046656750884915930259266188165810087016
371986959164518694,3719869591645186943232424640440167238197
12684357603569019705231383646409613117,1268435760356901970523138364640961311774
5755129889483479742332,5755129889483479742332285450414052735423
84859771,8485977112648035237602546971430931663653
1912909570798666994537650804079,1912909570798666994537650804079178524382
925977628178182825372022920108186449448,9259776281781828253720229201081864494483
neighborlines,neighborliness
270678149003,2706781490035025287682360782210739710233
slothfu,slothful
_they,_they_
margina,marginal
469812675226595621009,4698126752265956210093183220817546947788
